AT13,AT12,Risk Type
Trend Following,IPM Systematic Macro Fund,0
Trend Following,Lynx (Bermuda) Ltd. - Class D,0
Trend Following,Alphaterra Fund SPC Ltd.,0
Trend Following,Transtrend Fund Alliance,0
Managed Futures,CTA Fund,0
Trend Following,IPMCredit,0
Trend Following,TranstrendCredit,0
Bonds,US 10 Years T. Bond Futures,-1
Bonds,Japanese 10 Year Bond Futures,-1
Bonds,Short Term Investment Grade Bo,-1
Bonds,US Treasury Notes Etf,-1
Bonds,Germany 5 Year Bond Futures,-1
Bonds,US Ultra Bond Futures,-1
Bonds,US Treasury Bond Futures,-1
Bonds,US 5 Years T. Bond Futures,-1
Bonds,Short Term Gov Inv Grade Bond,-1
Cash,Cash and Equivalents,-1
Cash,Cash Margin Accounts,-1
Currencies,Swiss Franc Futures,-1
Currencies,Yen Futures,-1
Metals,Gold Futures,-1
Metals,Copper Futures,-1
Metals,Silver Futures,-1
Metals,Palladium Futures,-1
Metals,Platinum Futures,-1
Money Markets,Money Markets,-1
Volatility,Vix Futures,-1
Volatility,S&P Options,-1
Bonds,US 2 Years T. Bond Futures,-1
Currencies,British Pound Futures,-1
Volatility,Vix Options,-1
Currencies,Dollar Futures,-1
Acciones Value,Fondo Alpha Architect,1
Agricultures,Corn Futures,1
Agricultures,Soybean Futures,1
Agricultures,Wheat Futures,1
Agricultures,Soybean Meal Futures,1
Agricultures,Corn Futures,1
Agricultures,Soybean Oil Futures,1
Agricultures,Wheat Futures,1
Bonds,Italian 10 Year Bond Futures,1
Bonds,French 10 Year Bond Futures,1
Bonds,British  10 Year Bond Futures,1
Bonds,Korean 3 Year Bond Futures,1
Commodities,Commodity Index Etf,1
Currencies,Mexican Peso Futures,1
Currencies,US Dollar (Korea) Futures,1
Currencies,New Zealand  Dollar Futures,1
Energy,Crude Oil Futures,1
Energy,Heating Oil Futures,1
Energy,Natural Gas Futures,1
Energy,Brent Crude Futures,1
Energy,Gasoline RBOB Futures,1
Energy,Natural Gas Futures,1
Energy,Heating Oil Futures,1
Energy,Crude Oil Futures,1
Equities,S&P 500 eMini Futures,1
Equities,SPI 200 (Australia) Futures,1
Equities,S&P MID 400 EMini Futures,1
Equities,Swiss Market Index Futures,1
Equities,Amsterdam Index Futures,1
Equities,S&P/TSX 60 IX Futures,1
Equities,Russell 2000 (US) Futures,1
Equities,S&P 500 Etf,1
Equities,Dax Index Futures,1
Equities,Nasdaq 100 eMini Futures,1
Equities,FTSE 100 (UK) Futures,1
Equities,iShares MSCI Australia ETF,1
Equities,iShares MSCI Germany ETF,1
Equities,iShares MSCI Francia ETF,1
Equities,iShares MSCI United Kingdom ET,1
Equities (EM),Mini MSCI Emg Mkt Futures,1
Equities (EM),Emerging Markets ETF,1
Equities (EM),Harding Loevner Funds PLC,1
Meats,Lean Hogs Futures,1
Real Estate,IYR Real Estate Etf,1
Softs,Cotton Futures,1
Softs,Coffee Futures,1
Softs,Sugar Futures,1
Softs,Cocoa Futures,1
Softs,Coffee Futures,1
Currencies,Canadian Dollar Futures,1
Equities,KOSPI2 Index (Korea) Futures,1
Equities,FTSEMIB Index Futures,1
Equities,IBEX 35 Index Futures,1
Equities,Nikkei 225 Futures,1
Equities,TOPIX (Japan Tech) Futures,1
Meats,Feeder Cattle Futures,1
Meats,Live Cattle Futures,1
Equities,H-SHARES IDX Futures,1
Currencies,Australian Dollar Futures,1
Currencies,Euro Futures,1
Equities,DJIA Mini Futures,1
Acciones Value,Equities,1
Agricultures,Oat Futures,1
Bonds,Corporate Bonds,1
Bonds,Loans,1
Currencies,Renminbi Structured Note,1
Equities,NASDAQ 100 E-Mini Futures,1